CensusTract,TotalPopulation,Ozone,PM25,DieselPM,DrinkingWater,Lead,ToxRelease,Traffic,GroundwaterThreats,HazWaste,ImpWaterBodies,SolidWaste,Education,LinguisticIsolation,Poverty,Unemployment,Asthma
0,2440,0.029,9.08286493,0.633,108.41,88.19,573.1476644,1658.41929,248.35,0.225,16.0,14.0,38.6,19.6,56.9,12.8,113.3
1,7054,0.029,8.834295471,0.321,108.41,93.79,780.0980021,722.3796788,70.7,0.36,15.0,6.8,44.6,11.9,66.6,10.9,194.4
2,3904,0.029,8.709957218,0.562,108.41,91.71,741.219991,1717.311566,100.05,1.55,15.0,3.55,32.8,18.4,41.6,8.0,173.63
3,3595,0.034,9.095673213,0.411,297.4,74.87,927.8146973,1032.450718,47.25,0.26,14.0,5.5,21.5,12.8,42.7,10.9,199.35
5,5739,0.03,9.145972972,0.198,108.41,71.89,2515.800008,595.5620602,39.25,14.625,12.0,12.25,47.2,29.0,47.8,5.7,142.68
6,7040,0.03,9.007575715,0.984,108.41,74.99,4966.340047,408.0704611,20.0,6.985,11.0,0.0,39.4,15.4,47.5,17.8,156.3
7,5653,0.03,9.032474842,0.902,108.41,81.85,5040.626668,462.8477561,31.3,12.035,11.0,0.0,40.3,16.9,57.8,9.5,157.78
8,6831,0.03,8.990824583,1.02,108.41,87.19,4059.823242,748.040861,30.1,5.42,10.0,0.0,34.9,12.5,57.3,9.4,133.4
9,4179,0.028,8.797360988,1.12,257.97,87.2,457.8766683,356.6352844,103.6,1.56,10.0,26.4,28.2,10.8,36.0,11.5,123.98
10,7809,0.029,8.981755334,0.567,108.41,68.16,2089.194296,2103.833373,37.0,0.25,15.0,0.0,19.3,8.6,47.2,13.1,154.52
11,2969,0.027,9.827975665,1.175,108.41,38.95,662.6266581,1106.957318,158.35,2.695,11.0,1.0,40.5,62.7,57.3,8.6,124.65
13,2527,0.027,9.717527299,0.756,108.41,83.88,694.9486796,1039.218398,153.25,0.925,10.0,1.0,15.4,13.9,50.7,6.9,152.43
15,2771,0.034,9.090157047,0.292,297.4,68.51,884.5853474,334.104672,67.85,0.485,5.0,1.0,19.5,6.2,72.5,19.5,199.35
16,6106,0.042,8.685952828,0.195,238.52,80.06,2365.970011,653.5066128,52.0,1.11,16.0,0.2,20.3,13.0,49.7,16.3,162.41
17,4272,0.029,8.504617851,0.578,108.41,92.49,735.6230062,399.1903286,53.05,1.7,1.0,1.0,43.1,16.7,62.3,9.5,194.4
18,4563,0.041,6.389798848,0.308,362.38,69.62,3.337450033,1411.086494,26.1,0.05,2.0,5.0,47.9,24.7,47.2,9.1,59.06
19,3344,0.028,9.805884825,0.978,108.41,62.28,611.3939921,1775.910139,198.25,0.675,18.0,0.1,31.3,31.4,53.2,13.4,96.94
20,2373,0.027,10.18011782,0.549,108.41,90.7,704.5549825,530.1103093,185.2,0.81,10.0,0.0,16.1,8.9,68.4,16.7,152.43
22,6583,0.03,8.621503991,0.62,108.41,76.44,1020.0,1808.19602,98.6,0.8,11.0,23.0,22.6,11.7,29.3,5.6,75.09
23,1786,0.027,9.942820267,0.777,108.41,83.91,687.6940002,648.0111193,133.1,1.695,10.0,0.0,14.1,4.5,63.8,14.1,152.43
24,5022,0.029,8.406009042,0.358,108.41,91.15,652.2353312,670.8965602,60.05,1.275,1.0,2.0,41.1,18.5,56.3,6.6,186.24
25,2352,0.041,8.590536677,0.34,278.95,65.25,819.0249837,824.0693991,7.3,1.07,3.0,2.25,27.2,16.1,48.2,10.8,135.71
26,3115,0.029,8.604585168,0.306,108.41,85.1,1067.741333,668.7081393,51.85,1.2,1.0,0.95,37.0,11.5,56.7,10.0,194.4
27,4617,0.03,9.056934399,1.139,108.41,89.71,3573.169963,489.7431912,7.7,0.7,10.0,0.0,40.6,18.5,46.1,10.8,146.97
28,3663,0.028,8.797360988,1.992,257.97,82.19,444.9553324,336.3744025,14.85,2.0,11.0,17.6,34.2,24.4,44.3,7.1,123.98
29,5348,0.041,8.799900706,0.351,278.95,81.69,662.0,1203.55087,6.0,0.675,12.0,0.0,16.8,7.7,41.1,11.7,135.71
30,3064,0.028,8.726242016,0.47,407.66,55.65,849.95636,9621.617211,215.0,0.1,10.0,2.0,11.3,6.9,64.8,14.6,106.14
32,4240,0.027,9.827975665,0.979,108.41,35.72,639.9319865,1265.862973,166.8,2.06,12.0,1.0,22.6,28.8,43.0,11.9,147.11
33,6342,0.03,9.142211626,0.383,108.41,73.21,1965.680685,418.2672753,17.0,0.135,11.0,0.5,32.0,24.3,42.9,8.8,107.76
34,6078,0.041,8.685257984,0.152,278.95,79.36,717.047994,535.827933,48.3,4.625,12.0,0.2,33.4,15.2,46.4,8.3,135.71
36,6632,0.03,9.024962822,0.53,108.41,78.71,2772.073324,1237.646061,17.3,0.0,11.0,0.0,30.1,18.8,51.3,7.7,129.14
37,12241,0.031,8.993569614,0.189,319.15,55.83,1107.173381,576.5419967,20.0,1.25,11.0,10.75,22.7,10.0,23.6,6.0,103.2
38,6195,0.033,8.85589441,0.305,108.41,72.54,1830.266683,1752.941985,44.0,7.05,10.0,1.0,13.6,3.0,30.4,8.3,100.6
