Gender,BodyTemp,
Female,99.6,
Female,97.8,
Female,98.7,
Female,99.2,
Female,99.1,
Female,96.9,
Female,99.9,
Female,98.7,
Female,97.6,
Female,98.7,
Female,99.2,
Female,97.4,
Female,99,
Female,98,
Female,98.8,
Female,98.1,
Female,99,
Female,98.2,
Female,97.9,
Female,99.5,
Female,97.7,
Female,97.8,
Female,98.3,
Female,98,
Female,98.6,
Female,96.9,
Female,98.6,
Female,98.4,
Female,98.3,
Female,98,
Female,97.9,
Female,98.8,
Female,98.8,
Female,98.7,
Female,97.2,
Female,97.7,
Female,98.2,
Female,96.4,
Female,98.8,
Female,98.2,
Female,98,
Female,98.8,
Female,98.8,
Female,98.5,
Female,98.3,
Female,97.7,
Female,98.2,
Female,98.4,
Female,100,
Female,98.2,
Female,98.9,
Female,97.8,
Female,99,
Female,98.6,
Female,98.7,
Female,98.7,
Female,98.8,
Female,98.4,
Female,97.9,
Female,98.4,
Female,99.3,
Female,100.8,
Female,99.4,
Female,97.8,
Female,98.8,
Female,97.2,
Female,98.4,
Female,98.2,
Female,97,
Female,98,
Female,98.2,
Female,98.3,
Female,98.6,
Female,98.8,
Male,99.2,
Male,96.8,
Male,98.4,
Male,98,
Male,97.6,
Male,98.4,
Male,98.9,
Male,97.1,
Male,97.4,
Male,98.8,
Male,96.8,
Male,97,
Male,98.2,
Male,97.8,
Male,97.9,
Male,98.5,
Male,98.6,
Male,97.8,
Male,98,
Male,98.6,
Male,97.7,
Male,97.8,
Male,98.2,
Male,97.4,
Male,97,
Male,97.6,
Male,98.8,
Male,97.2,
Male,97,
Male,98.8,
Male,98.4,
Male,98.3,
Male,99.1,
Male,97.6,
Male,97.3,
Male,98,
Male,97,
Male,98.7,
Male,99.4,
Male,98,
Male,98.4,
Male,98.6,
Male,98,
Male,98.1,
Male,99,
Male,99.2,
Male,97.4,
Male,97.5,
Male,98.5,
Male,97.4,
Male,96.6,
Male,98.1,
Male,98.6,
Male,98.4,
Male,98.8,
Male,97.5,
Male,98.2,
Male,96.2,
Male,98.4,
Male,98.2,
Male,97.3,
Male,98.6,
Male,99,
Male,99,
Male,98.6,
Male,98.2,
Male,98,
Male,97.9,
Male,98.4,
Male,97.8,
Male,98,
Male,99.2,
Male,98.7,
Male,98.3,
