"","teamID","yearID","lgID","G","W","L","R","RA"
"1","ANA",2001,"AL",162,75,87,691,730
"2","ARI",2001,"NL",162,92,70,818,677
"3","ATL",2001,"NL",162,88,74,729,643
"4","BAL",2001,"AL",162,63,98,687,829
"5","BOS",2001,"AL",161,82,79,772,745
"6","CHA",2001,"AL",162,83,79,798,795
"7","CHN",2001,"NL",162,88,74,777,701
"8","CIN",2001,"NL",162,66,96,735,850
"9","CLE",2001,"AL",162,91,71,897,821
"10","COL",2001,"NL",162,73,89,923,906
"11","DET",2001,"AL",162,66,96,724,876
"12","FLO",2001,"NL",162,76,86,742,744
"13","HOU",2001,"NL",162,93,69,847,769
"14","KCA",2001,"AL",162,65,97,729,858
"15","LAN",2001,"NL",162,86,76,758,744
"16","MIL",2001,"NL",162,68,94,740,806
"17","MIN",2001,"AL",162,85,77,771,766
"18","MON",2001,"NL",162,68,94,670,812
"19","NYA",2001,"AL",161,95,65,804,713
"20","NYN",2001,"NL",162,82,80,642,713
"21","OAK",2001,"AL",162,102,60,884,645
"22","PHI",2001,"NL",162,86,76,746,719
"23","PIT",2001,"NL",162,62,100,657,858
"24","SDN",2001,"NL",162,79,83,789,812
"25","SEA",2001,"AL",162,116,46,927,627
"26","SFN",2001,"NL",162,90,72,799,748
"27","SLN",2001,"NL",162,93,69,814,684
"28","TBA",2001,"AL",162,62,100,672,887
"29","TEX",2001,"AL",162,73,89,890,968
"30","TOR",2001,"AL",162,80,82,767,753
"31","ANA",2002,"AL",162,99,63,851,644
"32","ARI",2002,"NL",162,98,64,819,674
"33","ATL",2002,"NL",161,101,59,708,565
"34","BAL",2002,"AL",162,67,95,667,773
"35","BOS",2002,"AL",162,93,69,859,665
"36","CHA",2002,"AL",162,81,81,856,798
"37","CHN",2002,"NL",162,67,95,706,759
"38","CIN",2002,"NL",162,78,84,709,774
"39","CLE",2002,"AL",162,74,88,739,837
"40","COL",2002,"NL",162,73,89,778,898
"41","DET",2002,"AL",161,55,106,575,864
"42","FLO",2002,"NL",162,79,83,699,763
"43","HOU",2002,"NL",162,84,78,749,695
"44","KCA",2002,"AL",162,62,100,737,891
"45","LAN",2002,"NL",162,92,70,713,643
"46","MIL",2002,"NL",162,56,106,627,821
"47","MIN",2002,"AL",161,94,67,768,712
"48","MON",2002,"NL",162,83,79,735,718
"49","NYA",2002,"AL",161,103,58,897,697
"50","NYN",2002,"NL",161,75,86,690,703
"51","OAK",2002,"AL",162,103,59,800,654
"52","PHI",2002,"NL",161,80,81,710,724
"53","PIT",2002,"NL",161,72,89,641,730
"54","SDN",2002,"NL",162,66,96,662,815
"55","SEA",2002,"AL",162,93,69,814,699
"56","SFN",2002,"NL",162,95,66,783,616
"57","SLN",2002,"NL",162,97,65,787,648
"58","TBA",2002,"AL",161,55,106,673,918
"59","TEX",2002,"AL",162,72,90,843,882
"60","TOR",2002,"AL",162,78,84,813,828
"61","ANA",2003,"AL",162,77,85,736,743
"62","ARI",2003,"NL",162,84,78,717,685
"63","ATL",2003,"NL",162,101,61,907,740
"64","BAL",2003,"AL",163,71,91,743,820
"65","BOS",2003,"AL",162,95,67,961,809
